"gbifid","species","latitude","longitude","sampledate"
1098906942,"Erynnis_funeralis",34.063682,-118.355509,"2015-06-11"
1135345843,"Hylephila_phyleus",34.033011,-118.314475,"2015-04-02"
1135345924,"Hylephila_phyleus",34.033063,-118.314448,"2015-04-06"
1135345981,"Erynnis_funeralis",34.142523,-118.339146,"2015-04-11"
1135346107,"Hylephila_phyleus",34.032972,-118.314503,"2015-04-23"
1135346117,"Hylephila_phyleus",34.033012,-118.314487,"2015-04-27"
1135346741,"Hylephila_phyleus",34.033631,-118.314767,"2015-05-27"
1099974318,"Erynnis_funeralis",34.017563,-118.287773,"2015-07-06"
1099975381,"Hylephila_phyleus",34.017593,-118.287783,"2015-07-07"
1322993672,"Erynnis_funeralis",34.032604,-118.21669,"2015-05-21"
1143518758,"Lerodea_eufala",34.033428,-118.314788,"2015-05-26"
1227714665,"Hylephila_phyleus",34.075437,-118.317131,"2015-03-15"
1227714682,"Hylephila_phyleus",34.032577,-118.216658,"2015-03-18"
1227714766,"Lerodea_eufala",34.032483,-118.216869,"2015-03-24"
1227714792,"Lerodea_eufala",34.078856,-118.321196,"2015-03-28"
1227714793,"Poanes_melane",34.078824,-118.32018,"2015-03-28"
1227714795,"Hylephila_phyleus",34.07888,-118.320383,"2015-03-28"
1227716799,"Lerodea_eufala",34.032097,-118.215988,"2015-06-09"
1227718156,"Hylephila_phyleus",34.113953,-118.266647,"2015-07-12"
1227722986,"Poanes_melane",34.032032,-118.216175,"2015-07-02"
1092881870,"Hylephila_phyleus",34.017511,-118.287617,"2015-05-16"
1092887205,"Hylephila_phyleus",34.017489,-118.287633,"2015-05-18"
1262366716,"Hylephila_phyleus",34.032972,-118.314503,"2015-04-23"
1262367236,"Hylephila_phyleus",33.915144,-118.312057,"2015-06-08"
1262367306,"Hylephila_phyleus",34.016944,-118.287688,"2015-06-12"
1262367633,"Hylephila_phyleus",34.017571,-118.287769,"2015-07-06"
1122961448,"Poanes_melane",34.140583,-118.29618,"2015-07-11"
1122962737,"Poanes_melane",33.973458,-118.216962,"2015-07-12"
1088919328,"Hylephila_phyleus",34.06424,-118.356542,"2015-03-15"
1135345836,"Papilio_rutulus",34.033011,-118.314475,"2015-04-02"
1135345839,"Papilio_cresphontes",34.033011,-118.314475,"2015-04-02"
1135346100,"Papilio_cresphontes",34.032972,-118.314503,"2015-04-23"
1099971333,"Papilio_rutulus",34.106916,-118.245936,"2015-06-14"
1099971822,"Papilio_rutulus",34.124675,-118.267822,"2015-07-04"
1099975388,"Papilio_rutulus",34.017558,-118.287767,"2015-07-07"
1143517804,"Papilio_zelicaon",34.126615,-118.212392,"2015-04-29"
1135345753,"Pieris_rapae",34.033019,-118.314448,"2015-03-23"
1135345794,"Pieris_rapae",34.084015,-118.254151,"2015-03-29"
1135346184,"Phoebis_sennae",34.01738,-118.287878,"2015-05-02"
1099961210,"Phoebis_sennae",34.017605,-118.28789,"2015-06-24"
1099974281,"Phoebis_sennae",34.017488,-118.287696,"2015-07-06"
1227718137,"Pontia_protodice",34.126949,-118.305491,"2015-07-12"
1088936999,"Pieris_rapae",34.143495,-118.314827,"2015-04-03"
1088964588,"Pieris_rapae",34.126355,-118.211326,"2015-04-30"
1098915012,"Danaus_plexippus",34.017951,-118.288526,"2015-06-18"
1098916282,"Danaus_plexippus",33.995861,-118.237496,"2015-06-17"
1098916620,"Nymphalis_antiopa",34.107073,-118.247799,"2015-06-14"
1098921176,"Vanessa_cardui",34.128093,-118.307854,"2015-06-24"
1135345705,"Vanessa_atalanta",34.080519,-118.282059,"2015-03-21"
1135345769,"Vanessa_cardui",34.084218,-118.210459,"2015-03-26"
1135345837,"Vanessa_atalanta",34.033011,-118.314475,"2015-04-02"
1135345922,"Agraulis_vanillae",34.033063,-118.314448,"2015-04-07"
1135345936,"Vanessa_atalanta",34.033063,-118.314448,"2015-04-07"
1135345989,"Agraulis_vanillae",34.03362,-118.313453,"2015-04-17"
1135346102,"Agraulis_vanillae",34.032972,-118.314503,"2015-04-23"
1135346115,"Junonia_coenia",34.033012,-118.314487,"2015-04-27"
1132403574,"Agraulis_vanillae",34.149158,-118.288545,"2015-07-07"
1211989477,"Danaus_plexippus",34.017883,-118.28765,"2015-03-17"
1099959887,"Vanessa_atalanta",33.900825,-118.314641,"2015-06-08"
1099962264,"Danaus_plexippus",33.885937,-118.342367,"2015-06-18"
1099967183,"Junonia_coenia",34.016938,-118.287676,"2015-06-28"
1099969878,"Danaus_plexippus",34.017539,-118.287675,"2015-07-02"
1099970497,"Nymphalis_antiopa",34.063788,-118.355434,"2015-07-03"
1099970567,"Limenitis_lorquini",34.017533,-118.288331,"2015-07-02"
1143518870,"Danaus_plexippus",34.017479,-118.28771,"2015-05-28"
1143519767,"Danaus_plexippus",34.017334,-118.287733,"2015-06-18"
1850987726,"Vanessa_cardui",34.126615,-118.212392,"2015-04-29"
1227718075,"Adelpha_bredowii",34.137888,-118.296768,"2015-07-11"
1092882389,"Danaus_plexippus",34.017934,-118.288513,"2015-05-16"
1092882593,"Agraulis_vanillae",34.017942,-118.28817,"2015-05-16"
1092883812,"Danaus_plexippus",34.017485,-118.287724,"2015-05-17"
1092887462,"Danaus_plexippus",34.017656,-118.28767,"2015-05-19"
1262367514,"Agraulis_vanillae",34.017312,-118.28862,"2015-06-17"
