"gbifid","species","latitude","longitude","sampledate","catalognumber"
1291103709,"Achlyodes thraso",26.580237,-100.512543,2015-04-19,3612218
1291111284,"Epargyreus clarus",40.493796,-74.419584,2015-06-23,3635259
1291123218,"Poanes hobomok",44.55935,-79.570862,2015-06-20,3671211
1291125473,"Atalopedes campestris",30.312823,-97.69846,2015-04-19,3677698
1291127924,"Carterocephalus palaemon",44.560263,-79.57122,2015-05-29,3684855
1291132222,"Poanes viator",40.520445,-74.220961,2015-07-11,3696838
1291132226,"Euphyes vestris",40.586605,-74.131225,2015-07-12,3696866
1291139782,"Epargyreus clarus",35.29637,-86.317419,2015-05-22,3720958
1291145135,"Urbanus proteus",24.572885,-81.748645,2015-03-31,3739984
1291145176,"Pyrgus oileus",25.391179,-80.568924,2015-03-28,3739991
1291145195,"Phocides pigmalion",24.7324,-81.393552,2015-03-31,3739983
1291145234,"Phocides pigmalion",24.572885,-81.748645,2015-03-31,3739982
1291145250,"Pyrgus oileus",26.088392,-80.178094,2015-03-27,3739996
1291145269,"Hylephila phyleus",24.572885,-81.748645,2015-03-31,3739981
1291145343,"Euphyes conspicua",42.387712,-84.055023,2015-07-10,3740163
1291145954,"Euphyes vestris",42.389633,-84.054476,2015-07-10,3741991
1291146005,"Atrytone delaware",42.389633,-84.054476,2015-07-10,3741985
1291146013,"Thymelicus lineola",42.307546,-84.411362,2015-06-18,3742004
1291146020,"Thymelicus lineola",42.307546,-84.411362,2015-06-23,3742003
1291146034,"Thymelicus lineola",42.307546,-84.411362,2015-06-04,3742006
1291146054,"Thymelicus lineola",44.399674,-83.973103,2015-06-07,3742005
1291146451,"Poanes hobomok",42.307546,-84.411362,2015-05-30,3743540
1291660392,"Hylephila phyleus",37.807006,-122.258928,2015-03-21,1310276
1291660438,"Hylephila phyleus",37.477915,-122.29169,2015-04-13,1392714
1291660472,"Hylephila phyleus",37.401631,-122.271156,2015-04-21,1413809
1291660799,"Hylephila phyleus",37.470294,-122.310874,2015-06-23,1680352
1291660937,"Hylephila phyleus",37.556433,-122.051878,2015-07-11,1751875
1098895510,"Copaeodes aurantiaca",36.158398,-115.4281,2015-04-14,1394886
1098895865,"Paratrytone melane",37.92782,-122.532408,2015-04-30,1440903
1098896043,"Pyrgus scriptura",37.301846,-115.131505,2015-05-03,1453314
1098896206,"Erynnis juvenalis",39.916188,-74.59764,2015-05-06,1460508
1098897141,"Copaeodes minima",26.290113,-98.135032,2015-05-22,1526898
1098897153,"Atrytonopsis hianna",42.254825,-72.626488,2015-05-22,1527511
1098897788,"Epargyreus clarus",41.388755,-81.870108,2015-05-28,1557620
1098898470,"Pyrgus communis",32.863917,-116.462476,2015-05-30,1582893
1098898504,"Pyrgus scriptura",36.118307,-115.429071,2015-06-02,1584458
1098898817,"Ochlodes agricola",36.069989,-121.599433,2015-06-03,1590164
1098898968,"Mastor hegon",44.762824,-71.737204,2015-06-04,1591706
1098899764,"Carterocephalus palaemon",44.545889,-71.829259,2015-06-04,1596186
1098899842,"Poanes hobomok",44.30696,-72.751964,2015-06-04,1596205
1098899890,"Mastor hegon",44.250892,-72.76095,2015-06-04,1596211
1098899963,"Epargyreus clarus",38.129493,-97.434161,2015-06-05,1597968
1098900112,"Epargyreus clarus",38.129493,-97.434161,2015-06-05,1597932
1098900709,"Systasea pulverulenta",26.2915,-98.134562,2015-06-06,1600552
1098901039,"Pyrgus oileus",20.487292,-105.442808,2015-06-06,1601397
1098901051,"Thorybes pylades",36.376342,-121.570245,2015-06-06,1601427
1098901156,"Heliopetes macaira",29.26345,-98.578512,2015-06-06,1601709
1098901163,"Systasea pulverulenta",29.262125,-98.578412,2015-06-06,1601711
1098901313,"Ochlodes agricola",36.512215,-121.773566,2015-06-05,1602060
1098901314,"Paratrytone melane",36.506476,-121.771093,2015-06-05,1602022
1098901538,"Epargyreus clarus",38.978999,-78.124231,2015-06-06,1602719
1098901561,"Ochlodes agricola",36.070162,-121.599678,2015-06-03,1602756
1098901679,"Pyrgus malvae",50.541199,6.588439,2015-06-07,1602927
1098901780,"Carterocephalus palaemon",50.540831,6.590241,2015-06-07,1603273
1098901859,"Poanes hobomok",43.572759,-73.402399,2015-06-06,1603635
1098901866,"Poanes hobomok",43.572884,-73.401541,2015-06-06,1603631
1098901868,"Ochlodes agricola",37.881836,-121.913202,2015-06-06,1603569
1098901895,"Epargyreus clarus",43.573381,-73.401541,2015-06-06,1603669
1098902114,"Poanes yehl",30.813693,-94.023555,2015-06-07,1604149
1098902251,"Euphyes vestris",37.545802,-77.511141,2015-06-06,1604596
1098902266,"Heliopetes ericetorum",34.021702,-116.288545,2015-04-12,1604605
1098902382,"Hylephila phyleus",30.546207,-97.560629,2015-06-06,1605008
1098902547,"Epargyreus clarus",40.232044,-76.45691,2015-06-07,1605445
1098902725,"Paratrytone melane",37.81757,-122.040289,2015-06-07,1605832
1098903002,"Erynnis tristis",33.313216,-116.576032,2015-06-06,1606514
1098903021,"Euphyes vestris",32.311411,-97.014929,2015-06-08,1606556
1098903410,"Paratrytone melane",37.185947,-122.339663,2015-06-08,1607857
1098903512,"Ochlodes sylvanoides",38.021045,-121.822175,2015-06-08,1608224
